"curation_id","curated_body_site","curated_body_site_ontology_term_id","curated_body_subsite","curated_body_subsite_ontology_term_id","curated_body_subsite_source"
"AsnicarF_2021:SAMEA7045112","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045113","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045114","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045115","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045116","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045117","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045118","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045119","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045120","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045121","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045122","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045123","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045124","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045125","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045126","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045127","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045128","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045129","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045130","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045131","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045132","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045133","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045134","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045135","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045136","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045137","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045138","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045139","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045140","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045141","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045142","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045143","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045144","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045145","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045146","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045147","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045148","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045149","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045150","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045151","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045152","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045153","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045154","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045155","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045156","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045157","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045158","feces","UBERON:0001988",NA,NA,NA
